CUST_ID,score_thin_filers,grade
SYN_2,0.35585558,4
SYN_15,0.22972277,3
SYN_19,0.19948076,3
SYN_36,0.051828057,2
SYN_46,0.058600944,2
SYN_52,0.22145623,3
SYN_60,0.120556876,3
SYN_80,0.65475637,7
SYN_87,0.18360472,3
SYN_95,0.76033396,8
SYN_98,0.44233808,5
SYN_118,0.020011824,1
SYN_119,0.00062544626,1
SYN_120,0.13617264,3
SYN_126,0.28871188,4
SYN_130,0.24063839,4
SYN_132,0.26634455,4
SYN_144,0.40160275,5
SYN_146,0.19778883,3
SYN_149,0.5846931,6
SYN_159,0.3814844,5
SYN_178,0.040765535,2
SYN_187,0.14457712,3
SYN_188,0.017847184,1
SYN_192,0.108364135,2
SYN_196,0.08130049,2
SYN_197,0.061789777,2
SYN_203,0.24208966,4
SYN_219,0.09049511,2
SYN_235,0.68687963,7
SYN_240,0.29505545,4
SYN_244,0.0031981298,1
SYN_248,0.6958367,7
SYN_250,0.2791053,4
SYN_252,0.31921428,4
SYN_258,0.15598808,3
SYN_262,0.3156043,4
SYN_265,0.20973112,3
SYN_269,0.030657528,1
SYN_270,0.184802,3
SYN_288,0.2829296,4
SYN_290,0.0013390005,1
SYN_294,0.38722283,5
SYN_300,0.75663066,8
SYN_303,0.1316515,3
SYN_308,0.29694405,4
SYN_309,0.45118585,5
SYN_338,0.11443652,3
SYN_345,0.36397666,4
SYN_353,0.12960787,3
SYN_354,0.41759175,5
SYN_359,0.030437661,1
SYN_362,0.0031981939,1
SYN_373,0.2635244,4
SYN_374,0.0046794233,1
SYN_400,0.14575738,3
SYN_406,0.18328777,3
SYN_422,0.39958805,5
SYN_440,0.294899,4
SYN_441,0.8081943,8
SYN_444,0.03165135,1
SYN_448,0.5912311,6
SYN_461,0.08303213,2
SYN_467,0.06284868,2
SYN_476,0.16883989,3
SYN_481,0.18158258,3
SYN_484,0.21276243,3
SYN_504,0.29182628,4
SYN_505,0.29443288,4
SYN_507,0.34119537,4
SYN_508,0.017223468,1
SYN_538,0.33384916,4
SYN_542,0.23597685,4
SYN_544,0.1165015,3
SYN_551,0.0038373529,1
SYN_557,0.13506718,3
SYN_561,0.008717658,1
SYN_580,0.2682452,4
SYN_593,0.00043152474,1
SYN_609,0.22564444,3
SYN_614,0.27143425,4
SYN_617,0.063300155,2
SYN_626,0.12082635,3
SYN_630,0.11163371,2
SYN_640,0.2991604,4
SYN_649,0.054510772,2
SYN_654,0.40331855,5
SYN_660,0.20064548,3
SYN_662,0.20618004,3
SYN_672,0.11056298,2
SYN_682,0.20585881,3
SYN_696,0.6098395,7
SYN_705,0.28112265,4
SYN_718,0.10680492,2
SYN_725,0.055598304,2
SYN_736,0.14093953,3
SYN_741,0.18393238,3
SYN_750,0.41078728,5
SYN_776,0.013136439,1
SYN_778,0.035504453,2
SYN_782,0.18339187,3
SYN_786,0.34851673,4
SYN_787,0.012587277,1
SYN_792,0.076978944,2
SYN_797,0.07206821,2
SYN_805,0.1757229,3
SYN_817,0.5741031,6
SYN_842,0.43439406,5
SYN_847,0.39399356,5
SYN_870,0.33161584,4
SYN_894,0.059993707,2
SYN_895,0.3292337,4
SYN_905,0.33678827,4
SYN_911,0.1493355,3
SYN_934,0.0812579,2
SYN_943,0.010811113,1
SYN_944,0.006978977,1
SYN_969,0.2543841,4
SYN_971,0.29831004,4
SYN_994,0.054094736,2
SYN_998,0.07725879,2
SYN_999,0.6569974,7
SYN_1001,0.25329047,4
SYN_1007,0.41751236,5
SYN_1015,0.42098492,5
SYN_1019,0.14530961,3
SYN_1029,0.19586478,3
SYN_1032,0.2706362,4
SYN_1044,0.1047025,2
SYN_1046,0.26919046,4
SYN_1058,0.022919491,1
SYN_1067,0.40139407,5
SYN_1073,0.18363221,3
SYN_1074,0.41143614,5
SYN_1092,0.05256433,2
SYN_1113,0.3428407,4
SYN_1130,0.13411205,3
SYN_1134,0.7353775,7
SYN_1140,0.16055115,3
SYN_1149,0.22565502,3
SYN_1168,0.14949295,3
SYN_1169,0.30792242,4
SYN_1176,0.2980104,4
SYN_1185,0.21971518,3
SYN_1219,0.1709379,3
SYN_1243,0.18478628,3
SYN_1257,0.27665934,4
SYN_1261,0.047869384,2
SYN_1264,0.33360547,4
SYN_1265,0.07157588,2
SYN_1285,0.15501794,3
SYN_1296,0.31544286,4
SYN_1302,0.55483526,6
SYN_1314,0.26439017,4
SYN_1324,0.1957447,3
SYN_1331,0.10464827,2
SYN_1338,0.026301965,1
SYN_1341,0.03754413,2
SYN_1353,0.38292563,5
SYN_1354,0.24664827,4
SYN_1364,0.18210562,3
SYN_1371,0.40991315,5
SYN_1377,0.14056803,3
SYN_1386,0.25230965,4
SYN_1387,0.4403522,5
SYN_1391,0.07601276,2
SYN_1396,0.1769837,3
SYN_1398,0.0069932146,1
SYN_1401,0.06272047,2
SYN_1414,0.09877704,2
SYN_1417,0.08672927,2
SYN_1428,0.20958592,3
SYN_1461,0.022473536,1
SYN_1466,0.056516416,2
SYN_1467,0.04480063,2
SYN_1480,0.5561018,6
SYN_1481,0.026669217,1
SYN_1482,0.3480845,4
SYN_1485,0.13651238,3
SYN_1490,0.0070717055,1
SYN_1503,0.5480669,6
SYN_1536,0.07356212,2
SYN_1544,0.0003311296,1
SYN_1571,0.15123744,3
SYN_1572,0.23504461,4
SYN_1577,0.57101387,6
SYN_1579,0.15519539,3
SYN_1581,0.46059316,5
SYN_1585,0.3197519,4
SYN_1587,0.18280247,3
SYN_1594,0.15697862,3
SYN_1599,0.09268455,2
SYN_1604,0.00914192,1
SYN_1615,0.35280684,4
SYN_1617,0.07979184,2
SYN_1619,0.22158247,3
SYN_1622,0.19667396,3
SYN_1625,0.17503731,3
SYN_1641,0.47835276,5
SYN_1644,0.11817271,3
SYN_1647,0.30709124,4
SYN_1650,0.37054992,5
SYN_1654,0.06298087,2
SYN_1655,0.016877092,1
SYN_1659,0.28611353,4
SYN_1666,0.012278797,1
SYN_1667,0.27022716,4
SYN_1673,0.069042586,2
SYN_1691,0.3586459,4
SYN_1694,0.39354742,5
SYN_1713,0.18254694,3
SYN_1716,0.18883353,3
SYN_1736,0.13318078,3
SYN_1738,0.33976462,4
SYN_1762,0.25859356,4
SYN_1766,0.009418086,1
SYN_1780,0.04555415,2
SYN_1790,0.09836522,2
SYN_1797,0.67874885,7
SYN_1806,0.08329953,2
SYN_1807,0.13193132,3
SYN_1810,0.114831306,3
SYN_1813,0.04573346,2
SYN_1819,0.10462645,2
SYN_1821,0.2679408,4
SYN_1830,0.012375355,1
SYN_1855,0.31215394,4
SYN_1866,0.12546283,3
SYN_1869,0.47699872,5
SYN_1871,0.40008485,5
SYN_1874,0.03395378,2
SYN_1878,0.0680942,2
SYN_1890,0.05292543,2
SYN_1916,0.3728599,5
SYN_1930,0.38100854,5
SYN_1934,0.5842993,6
SYN_1935,0.84128505,8
SYN_1964,0.6776083,7
SYN_1974,0.05778446,2
SYN_1981,0.48578504,5
SYN_1990,0.25863457,4
SYN_2005,0.52995855,6
SYN_2016,0.3163154,4
SYN_2029,0.06619162,2
SYN_2035,0.013472248,1
SYN_2037,0.17957415,3
SYN_2038,0.45059094,5
SYN_2041,0.08357527,2
SYN_2048,0.64917,7
SYN_2049,0.24821416,4
SYN_2059,0.011956648,1
SYN_2065,0.14237852,3
SYN_2069,0.27063033,4
SYN_2070,0.013721449,1
SYN_2075,0.35490415,4
SYN_2081,0.75736076,8
SYN_2086,0.3715058,5
SYN_2093,0.10137268,2
SYN_2097,0.3744305,5
SYN_2099,0.12698409,3
SYN_2107,0.5728212,6
SYN_2110,0.2040748,3
SYN_2126,0.54901654,6
SYN_2129,0.15099882,3
SYN_2133,0.16156864,3
SYN_2138,0.20636459,3
SYN_2139,0.0041732555,1
SYN_2140,0.20724759,3
SYN_2147,0.03410714,2
SYN_2166,0.2633538,4
SYN_2174,0.156361,3
SYN_2175,0.2706556,4
SYN_2182,0.35565498,4
SYN_2185,0.15563096,3
SYN_2189,0.051971756,2
SYN_2199,0.0054743555,1
SYN_2200,0.12852411,3
SYN_2210,0.08588067,2
SYN_2224,0.20471919,3
SYN_2236,0.14401738,3
SYN_2247,0.021812454,1
SYN_2248,0.010847164,1
SYN_2257,0.048136283,2
SYN_2258,0.31781685,4
SYN_2259,0.3909393,5
SYN_2268,0.1755596,3
SYN_2269,0.3927863,5
SYN_2270,0.15575404,3
SYN_2278,0.08049008,2
SYN_2280,0.19622871,3
SYN_2291,0.29135734,4
SYN_2297,0.14124314,3
SYN_2300,0.21661803,3
SYN_2303,0.0068711992,1
SYN_2304,0.3116782,4
SYN_2317,0.15045524,3
SYN_2331,0.26864162,4
SYN_2334,0.54666126,6
SYN_2344,0.14757928,3
SYN_2351,0.18961106,3
SYN_2352,0.3042432,4
SYN_2353,0.14190152,3
SYN_2358,0.5291863,6
SYN_2362,0.21916892,3
SYN_2370,0.069151476,2
SYN_2374,0.4103268,5
SYN_2380,0.055497877,2
SYN_2395,0.3119205,4
SYN_2401,0.09659549,2
SYN_2406,0.009108459,1
SYN_2410,0.2312992,3
SYN_2412,0.11425712,3
SYN_2440,0.3205492,4
SYN_2441,0.40980202,5
SYN_2442,0.38978586,5
SYN_2455,0.78499645,8
SYN_2467,0.15879455,3
SYN_2481,0.09976931,2
SYN_2487,0.3393481,4
SYN_2493,0.6943484,7
SYN_2496,0.4796345,5
SYN_2505,0.30332544,4
SYN_2506,0.10924534,2
SYN_2514,0.047301333,2
