CUST_ID,risk_score_trackB
SYN_2,0.32603115
SYN_15,0.27740857
SYN_19,0.34405947
SYN_36,0.12045478
SYN_46,0.17791916
SYN_52,0.23750338
SYN_60,0.34088603
SYN_80,0.5991712
SYN_87,0.23716553
SYN_95,0.64652497
SYN_98,0.37131816
SYN_118,0.43481863
SYN_119,0.14653145
SYN_120,0.21157907
SYN_126,0.34273958
SYN_130,0.29095355
SYN_132,0.29094088
SYN_144,0.3881998
SYN_146,0.28329772
SYN_149,0.67921686
SYN_159,0.357808
SYN_178,0.13559023
SYN_187,0.22466579
SYN_188,0.056021314
SYN_192,0.31206924
SYN_196,0.43218005
SYN_197,0.12700348
SYN_203,0.42901886
SYN_219,0.2297274
SYN_235,0.7843837
SYN_240,0.26779887
SYN_244,0.22985871
SYN_248,0.5682186
SYN_250,0.31809217
SYN_252,0.32531247
SYN_258,0.24522108
SYN_262,0.38175523
SYN_265,0.38383764
SYN_269,0.14280586
SYN_270,0.42850143
SYN_288,0.33302864
SYN_290,0.4399181
SYN_294,0.42550227
SYN_300,0.78866816
SYN_303,0.19212551
SYN_308,0.33383414
SYN_309,0.43674007
SYN_338,0.46416607
SYN_345,0.36530983
SYN_353,0.21534342
SYN_354,0.71129763
SYN_359,0.2089788
SYN_362,0.39890033
SYN_373,0.18809655
SYN_374,0.21351285
SYN_400,0.37528
SYN_406,0.26597697
SYN_422,0.4063084
SYN_440,0.3317673
SYN_441,0.78691703
SYN_444,0.07626575
SYN_448,0.70848066
SYN_461,0.30344
SYN_467,0.26131997
SYN_476,0.31153294
SYN_481,0.32105532
SYN_484,0.5831245
SYN_504,0.43165413
SYN_505,0.30921364
SYN_507,0.3479582
SYN_508,0.32182762
SYN_538,0.5797035
SYN_542,0.24079865
SYN_544,0.156094
SYN_551,0.28385538
SYN_557,0.22840439
SYN_561,0.019970527
SYN_580,0.32734406
SYN_593,0.12890324
SYN_609,0.4208011
SYN_614,0.30728433
SYN_617,0.097344175
SYN_626,0.38169724
SYN_630,0.28804109
SYN_640,0.3800759
SYN_649,0.13835534
SYN_654,0.3628566
SYN_660,0.3302158
SYN_662,0.27787215
SYN_672,0.48966137
SYN_682,0.23599732
SYN_696,0.5709868
SYN_705,0.21076024
SYN_718,0.36443815
SYN_725,0.26428494
SYN_736,0.13850474
SYN_741,0.2007556
SYN_750,0.44144058
SYN_776,0.2648855
SYN_778,0.22236896
SYN_782,0.20685358
SYN_786,0.5832609
SYN_787,0.07911772
SYN_792,0.27981207
SYN_797,0.14675802
SYN_805,0.3976369
SYN_817,0.56830055
SYN_842,0.5176638
SYN_847,0.41008207
SYN_870,0.51602656
SYN_894,0.26145747
SYN_895,0.55499536
SYN_905,0.52079755
SYN_911,0.26868656
SYN_934,0.21539584
SYN_943,0.13679002
SYN_944,0.03653062
SYN_969,0.2912618
SYN_971,0.19936468
SYN_994,0.11168177
SYN_998,0.44126517
SYN_999,0.64616984
SYN_1001,0.31700015
SYN_1007,0.36796603
SYN_1015,0.5622841
SYN_1019,0.2746597
SYN_1029,0.41423675
SYN_1032,0.411
SYN_1044,0.13572127
SYN_1046,0.22831541
SYN_1058,0.07471503
SYN_1067,0.56116825
SYN_1073,0.4768118
SYN_1074,0.5485022
SYN_1092,0.3444433
SYN_1113,0.67896307
SYN_1130,0.181068
SYN_1134,0.7427938
SYN_1140,0.3268169
SYN_1149,0.5186825
SYN_1168,0.16090713
SYN_1169,0.31995812
SYN_1176,0.47303858
SYN_1185,0.19791128
SYN_1219,0.31940922
SYN_1243,0.23418346
SYN_1257,0.33333853
SYN_1261,0.39607102
SYN_1264,0.38802874
SYN_1265,0.31859538
SYN_1285,0.24724023
SYN_1296,0.29131722
SYN_1302,0.69750094
SYN_1314,0.30919358
SYN_1324,0.621746
SYN_1331,0.5974534
SYN_1338,0.089807756
SYN_1341,0.09332378
SYN_1353,0.47575292
SYN_1354,0.43634686
SYN_1364,0.25776422
SYN_1371,0.564788
SYN_1377,0.29504725
SYN_1386,0.20910367
SYN_1387,0.38259774
SYN_1391,0.14279577
SYN_1396,0.23542735
SYN_1398,0.15036653
SYN_1401,0.2712257
SYN_1414,0.20581727
SYN_1417,0.41017866
SYN_1428,0.31835207
SYN_1461,0.08737744
SYN_1466,0.16937023
SYN_1467,0.496958
SYN_1480,0.7292524
SYN_1481,0.46173787
SYN_1482,0.48334378
SYN_1485,0.18077374
SYN_1490,0.33977383
SYN_1503,0.54006666
SYN_1536,0.27352372
SYN_1544,0.06065413
SYN_1571,0.3244534
SYN_1572,0.30201405
SYN_1577,0.62895775
SYN_1579,0.3163338
SYN_1581,0.60735995
SYN_1585,0.23582642
SYN_1587,0.25761196
SYN_1594,0.16531642
SYN_1599,0.2657872
SYN_1604,0.14231981
SYN_1615,0.6515844
SYN_1617,0.31314096
SYN_1619,0.5631848
SYN_1622,0.6904206
SYN_1625,0.38123202
SYN_1641,0.40829083
SYN_1644,0.26866674
SYN_1647,0.33738798
SYN_1650,0.57947934
SYN_1654,0.29181057
SYN_1655,0.23917392
SYN_1659,0.35546
SYN_1666,0.08285439
SYN_1667,0.2845368
SYN_1673,0.23651212
SYN_1691,0.37688714
SYN_1694,0.45837075
SYN_1713,0.24292018
SYN_1716,0.39939559
SYN_1736,0.5170587
SYN_1738,0.31014308
SYN_1762,0.27312317
SYN_1766,0.08275682
SYN_1780,0.20484449
SYN_1790,0.26435977
SYN_1797,0.6397335
SYN_1806,0.33782578
SYN_1807,0.20681787
SYN_1810,0.19549058
SYN_1813,0.20271404
SYN_1819,0.26133505
SYN_1821,0.3684104
SYN_1830,0.12590131
SYN_1855,0.27011722
SYN_1866,0.2743382
SYN_1869,0.40658426
SYN_1871,0.30330774
SYN_1874,0.09039101
SYN_1878,0.07985717
SYN_1890,0.4874299
SYN_1916,0.42473578
SYN_1930,0.3889833
SYN_1934,0.543565
SYN_1935,0.8133877
SYN_1964,0.79360056
SYN_1974,0.10803897
SYN_1981,0.52641624
SYN_1990,0.28275394
SYN_2005,0.46159965
SYN_2016,0.4186741
SYN_2029,0.15634114
SYN_2035,0.1878975
SYN_2037,0.3104872
SYN_2038,0.45961383
SYN_2041,0.1586776
SYN_2048,0.6985612
SYN_2049,0.47168848
SYN_2059,0.38253096
SYN_2065,0.4140209
SYN_2069,0.277354
SYN_2070,0.1578273
SYN_2075,0.48169398
SYN_2081,0.75783366
SYN_2086,0.3716233
SYN_2093,0.21533921
SYN_2097,0.5285309
SYN_2099,0.23239721
SYN_2107,0.46340907
SYN_2110,0.2724908
SYN_2126,0.4861754
SYN_2129,0.21859865
SYN_2133,0.23594922
SYN_2138,0.3643676
SYN_2139,0.21397924
SYN_2140,0.37836173
SYN_2147,0.4128231
SYN_2166,0.4431471
SYN_2174,0.42272946
SYN_2175,0.3212335
SYN_2182,0.26426023
SYN_2185,0.5294724
SYN_2189,0.49802214
SYN_2199,0.43691513
SYN_2200,0.34268913
SYN_2210,0.18430203
SYN_2224,0.4402743
SYN_2236,0.20815168
SYN_2247,0.101845786
SYN_2248,0.060763426
SYN_2257,0.19589858
SYN_2258,0.34150514
SYN_2259,0.32541844
SYN_2268,0.44730243
SYN_2269,0.42570326
SYN_2270,0.39421847
SYN_2278,0.14398688
SYN_2280,0.27515432
SYN_2291,0.34387457
SYN_2297,0.32856897
SYN_2300,0.33581358
SYN_2303,0.15150535
SYN_2304,0.26561034
SYN_2317,0.1435185
SYN_2331,0.2573653
SYN_2334,0.47506055
SYN_2344,0.23665586
SYN_2351,0.24635921
SYN_2352,0.35126615
SYN_2353,0.3802264
SYN_2358,0.5066966
SYN_2362,0.41835815
SYN_2370,0.25224158
SYN_2374,0.50793654
SYN_2380,0.467474
SYN_2395,0.43289313
SYN_2401,0.23741336
SYN_2406,0.41081837
SYN_2410,0.3447711
SYN_2412,0.15411733
SYN_2440,0.39514136
SYN_2441,0.43615338
SYN_2442,0.59691757
SYN_2455,0.8261563
SYN_2467,0.24116428
SYN_2481,0.3644636
SYN_2487,0.29894394
SYN_2493,0.7091256
SYN_2496,0.44967586
SYN_2505,0.30770817
SYN_2506,0.45229742
SYN_2514,0.4596582
SYN_2521,0.56172967
SYN_2531,0.1534878
SYN_2537,0.26061815
SYN_2540,0.6202691
SYN_2541,0.15588553
SYN_2545,0.48028654
SYN_2554,0.35831493
SYN_2557,0.33549103
SYN_2560,0.3327982
SYN_2574,0.32590857
SYN_2579,0.33290702
SYN_2580,0.16091248
SYN_2582,0.18623808
SYN_2591,0.38317144
SYN_2613,0.1182996
SYN_2614,0.45325932
SYN_2618,0.6209292
SYN_2620,0.3574242
SYN_2623,0.22467084
SYN_2627,0.45469853
SYN_2628,0.09364198
SYN_2640,0.23356582
SYN_2643,0.42620346
SYN_2646,0.34845895
SYN_2647,0.45725206
SYN_2649,0.044632435
SYN_2651,0.14182556
SYN_2656,0.30285093
SYN_2661,0.029784061
SYN_2667,0.41964626
SYN_2675,0.34635183
SYN_2681,0.36508727
SYN_2684,0.5555463
SYN_2685,0.12539274
SYN_2701,0.27424613
SYN_2705,0.13833068
SYN_2707,0.33531994
SYN_2717,0.49556687
SYN_2719,0.2731281
SYN_2724,0.23647532
SYN_2730,0.77236104
SYN_2737,0.45757395
SYN_2739,0.18569383
SYN_2742,0.40352777
SYN_2748,0.44779852
SYN_2754,0.22081207
SYN_2759,0.118355684
SYN_2762,0.54006344
SYN_2763,0.3604209
SYN_2788,0.34059832
SYN_2789,0.42924812
SYN_2793,0.28802696
SYN_2815,0.26893
SYN_2816,0.25285864
SYN_2817,0.38674796
SYN_2818,0.5312227
SYN_2827,0.2455064
SYN_2831,0.066066206
SYN_2832,0.17729169
SYN_2833,0.39407277
SYN_2837,0.31694505
SYN_2843,0.24639204
SYN_2849,0.27335548
SYN_2856,0.18716799
SYN_2868,0.17479081
SYN_2885,0.2658112
SYN_2887,0.39615524
SYN_2899,0.33428666
SYN_2900,0.32972708
SYN_2915,0.2222081
SYN_2917,0.38255852
SYN_2922,0.19831116
SYN_2924,0.20156287
SYN_2935,0.3443997
SYN_2936,0.23003699
SYN_2941,0.7122307
SYN_2969,0.4129287
SYN_2970,0.31676015
